instance_id,cls_id,in_frame,total_proj,ratio
1_706_1_707_20,20,261,299,0.872910
1_707_1_708_20,20,290,314,0.923567
1_708_1_709_20,20,315,315,1.000000
1_709_1_710_20,20,0,153,0.000000
1_710_1_711_20,20,264,264,1.000000
1_711_1_712_20,20,360,360,1.000000
1_712_1_713_20,20,294,294,1.000000
1_713_1_714_20,20,391,394,0.992386
1_714_1_715_20,20,317,317,1.000000
1_715_1_716_20,20,331,331,1.000000
1_716_1_717_20,20,341,341,1.000000
1_717_1_718_20,20,353,353,1.000000
1_718_1_719_20,20,310,313,0.990415
1_719_1_720_20,20,352,352,1.000000
1_720_1_721_20,20,259,259,1.000000
1_721_1_722_20,20,197,197,1.000000
1_722_1_723_20,20,0,138,0.000000
1_723_1_724_20,20,301,327,0.920489
1_724_1_725_20,20,296,296,1.000000
1_725_1_735_20,20,0,103,0.000000
1_735_1_736_20,20,152,257,0.591440
1_752_1_753_22,22,396,448,0.883929
1_753_1_756_22,22,448,448,1.000000
1_756_1_757_22,22,351,450,0.780000
1_757_1_760_22,22,199,354,0.562147
1_760_1_761_22,22,0,264,0.000000
1_761_1_762_22,22,0,0,0.000000
1_765_1_766_22,22,390,390,1.000000
1_766_1_767_22,22,420,420,1.000000
1_769_1_770_22,22,0,0,0.000000
1_770_1_771_22,22,409,413,0.990315
1_774_1_775_22,22,357,380,0.939474
1_775_1_776_22,22,393,407,0.965602
