instance_id,cls_id,in_frame,total_proj,ratio
1_82_1_83_21,21,260,260,1.000000
1_83_1_84_21,21,483,483,1.000000
1_84_1_85_21,21,422,467,0.903640
1_85_1_86_21,21,372,449,0.828508
1_88_1_89_14,14,346,346,1.000000
1_89_1_90_14,14,366,366,1.000000
1_90_1_91_14,14,305,305,1.000000
1_91_1_92_14,14,291,291,1.000000
1_92_1_94_14,14,307,307,1.000000
1_94_1_95_14,14,349,349,1.000000
1_95_1_96_14,14,369,369,1.000000
1_96_1_97_14,14,308,308,1.000000
1_97_1_98_14,14,0,159,0.000000
1_98_1_99_14,14,337,337,1.000000
1_99_1_100_14,14,275,275,1.000000
1_100_1_101_14,14,310,310,1.000000
1_101_1_102_14,14,410,410,1.000000
1_102_1_103_14,14,318,318,1.000000
1_103_1_104_14,14,361,361,1.000000
1_104_1_105_14,14,0,181,0.000000
1_105_1_106_14,14,225,270,0.833333
1_106_1_107_14,14,358,358,1.000000
1_107_1_108_14,14,236,316,0.746835
1_108_1_109_14,14,202,363,0.556474
1_109_1_110_14,14,371,371,1.000000
1_110_1_111_14,14,289,373,0.774799
1_111_1_112_14,14,379,379,1.000000
1_112_1_113_14,14,371,371,1.000000
1_113_1_114_14,14,283,400,0.707500
1_116_1_117_14,14,274,274,1.000000
1_117_1_118_14,14,8,229,0.034934
1_118_1_119_14,14,23,152,0.151316
1_119_1_120_14,14,302,302,1.000000
1_174_1_175_19,19,334,334,1.000000
1_175_1_176_19,19,0,182,0.000000
1_176_1_177_19,19,0,0,0.000000
1_177_1_178_19,19,0,127,0.000000
1_178_1_180_19,19,226,226,1.000000
1_180_1_181_19,19,282,312,0.903846
1_181_1_182_19,19,365,365,1.000000
1_182_1_183_19,19,273,351,0.777778
1_183_1_184_19,19,200,350,0.571429
1_184_1_185_19,19,204,368,0.554348
1_185_1_186_19,19,296,299,0.989967
1_186_1_187_19,19,285,323,0.882353
1_187_1_188_19,19,297,297,1.000000
1_188_1_189_19,19,256,299,0.856187
1_189_1_190_19,19,305,332,0.918675
1_190_1_191_19,19,250,276,0.905797
1_191_1_192_19,19,329,356,0.924157
1_192_1_193_19,19,303,312,0.971154
1_193_1_194_19,19,461,461,1.000000
1_194_1_196_19,19,12,109,0.110092
1_196_1_197_19,19,363,363,1.000000
1_197_1_198_19,19,371,371,1.000000
1_198_1_199_19,19,386,386,1.000000
1_201_1_202_15,15,303,303,1.000000
1_202_1_203_15,15,0,110,0.000000
1_203_1_204_15,15,289,289,1.000000
1_204_1_205_15,15,1,207,0.004831
1_205_1_207_15,15,271,271,1.000000
1_207_1_208_15,15,238,238,1.000000
1_208_1_209_15,15,205,205,1.000000
1_209_1_210_15,15,0,118,0.000000
1_210_1_211_15,15,225,225,1.000000
1_211_1_212_15,15,341,341,1.000000
1_212_1_213_15,15,439,458,0.958515
1_213_1_214_15,15,451,451,1.000000
1_214_1_215_15,15,241,329,0.732523
1_215_1_216_15,15,474,476,0.995798
1_216_1_217_15,15,0,422,0.000000
1_217_1_218_15,15,0,27,0.000000
1_218_1_219_15,15,425,425,1.000000
1_219_1_220_15,15,304,334,0.910180
1_220_1_221_15,15,0,212,0.000000
1_221_1_222_15,15,287,287,1.000000
1_222_1_223_15,15,0,163,0.000000
1_223_1_224_15,15,0,176,0.000000
1_224_1_225_15,15,270,305,0.885246
1_225_1_226_15,15,18,150,0.120000
1_226_1_227_15,15,250,250,1.000000
1_227_1_228_15,15,459,476,0.964286
1_228_1_229_15,15,473,473,1.000000
1_229_1_729_15,15,482,482,1.000000
1_729_1_730_15,15,224,224,1.000000
1_730_1_731_15,15,175,175,1.000000
1_231_1_232_12,12,448,448,1.000000
1_232_1_234_12,12,440,440,1.000000
1_234_1_235_12,12,445,445,1.000000
1_235_1_236_12,12,453,453,1.000000
1_236_1_237_12,12,435,440,0.988636
1_237_1_238_12,12,414,414,1.000000
1_238_1_239_12,12,405,405,1.000000
1_239_1_240_12,12,311,440,0.706818
1_240_1_241_12,12,428,431,0.993039
1_241_1_242_12,12,392,415,0.944578
1_242_1_243_12,12,366,371,0.986523
1_243_1_244_12,12,1,211,0.004739
1_246_1_247_7,7,469,469,1.000000
1_247_1_249_7,7,437,437,1.000000
1_249_1_250_7,7,454,454,1.000000
1_250_1_251_7,7,340,441,0.770975
1_251_1_252_7,7,415,451,0.920177
1_252_1_253_7,7,454,454,1.000000
1_253_1_254_7,7,440,441,0.997732
1_254_1_255_7,7,451,451,1.000000
1_255_1_256_7,7,465,465,1.000000
1_256_1_257_7,7,448,448,1.000000
1_257_1_258_7,7,448,448,1.000000
1_258_1_259_7,7,376,427,0.880562
1_259_1_260_7,7,429,437,0.981693
1_260_1_261_7,7,388,388,1.000000
1_261_1_262_7,7,415,415,1.000000
1_262_1_263_7,7,415,415,1.000000
1_263_1_264_7,7,371,371,1.000000
1_264_1_265_7,7,383,383,1.000000
1_265_1_266_7,7,377,377,1.000000
1_266_1_267_7,7,420,420,1.000000
1_267_1_268_7,7,379,379,1.000000
1_268_1_269_7,7,371,383,0.968668
1_269_1_270_7,7,384,384,1.000000
1_270_1_271_7,7,394,394,1.000000
1_271_1_735_7,7,321,364,0.881868
1_735_1_736_7,7,237,272,0.871324
1_736_1_746_7,7,0,260,0.000000
1_746_1_747_7,7,240,240,1.000000
1_747_1_748_7,7,267,267,1.000000
1_273_1_274_16,16,385,385,1.000000
1_274_1_276_16,16,293,302,0.970199
1_276_1_277_16,16,307,335,0.916418
1_277_1_278_16,16,0,0,0.000000
1_278_1_279_16,16,363,363,1.000000
1_279_1_280_16,16,378,387,0.976744
1_280_1_281_16,16,364,364,1.000000
1_281_1_282_16,16,309,309,1.000000
1_282_1_283_16,16,289,289,1.000000
1_283_1_284_16,16,346,346,1.000000
1_284_1_285_16,16,301,376,0.800532
1_285_1_286_16,16,282,286,0.986014
1_286_1_287_16,16,304,304,1.000000
1_287_1_288_16,16,342,348,0.982759
1_288_1_289_16,16,422,427,0.988290
1_289_1_290_16,16,454,454,1.000000
1_290_1_291_16,16,417,417,1.000000
1_291_1_292_16,16,380,380,1.000000
1_294_1_295_24,24,131,131,1.000000
1_295_1_297_24,24,64,64,1.000000
1_297_1_298_24,24,78,86,0.906977
1_298_1_299_24,24,0,142,0.000000
1_299_1_300_24,24,203,203,1.000000
1_300_1_301_24,24,73,210,0.347619
1_301_1_302_24,24,136,136,1.000000
1_302_1_303_24,24,190,190,1.000000
1_303_1_304_24,24,194,194,1.000000
1_304_1_305_24,24,159,159,1.000000
1_305_1_306_24,24,136,136,1.000000
1_306_1_307_24,24,144,144,1.000000
1_307_1_308_24,24,121,121,1.000000
1_308_1_309_24,24,172,182,0.945055
1_309_1_310_24,24,180,180,1.000000
1_310_1_735_24,24,165,177,0.932203
1_735_1_736_24,24,197,257,0.766537
1_736_1_737_24,24,0,110,0.000000
1_737_1_738_24,24,106,106,1.000000
1_738_1_739_24,24,78,78,1.000000
1_312_1_313_23,23,212,212,1.000000
1_313_1_314_23,23,235,235,1.000000
1_314_1_315_23,23,1,215,0.004651
1_315_1_316_23,23,199,199,1.000000
1_316_1_317_23,23,178,178,1.000000
1_318_1_319_28,28,61,61,1.000000
1_319_1_320_28,28,453,453,1.000000
1_323_1_324_8,8,242,242,1.000000
1_324_1_326_8,8,251,251,1.000000
1_326_1_327_8,8,232,232,1.000000
1_327_1_328_8,8,253,253,1.000000
1_328_1_329_8,8,278,278,1.000000
1_329_1_330_8,8,248,248,1.000000
1_330_1_331_8,8,0,109,0.000000
1_331_1_332_8,8,298,305,0.977049
1_332_1_333_8,8,289,289,1.000000
1_333_1_334_8,8,314,314,1.000000
1_334_1_335_8,8,312,312,1.000000
1_335_1_336_8,8,345,345,1.000000
1_336_1_337_8,8,263,367,0.716621
1_337_1_338_8,8,1,283,0.003534
1_338_1_339_8,8,231,231,1.000000
1_339_1_340_8,8,0,0,0.000000
1_340_1_341_8,8,409,409,1.000000
1_341_1_342_8,8,256,285,0.898246
1_342_1_343_8,8,0,100,0.000000
1_343_1_344_8,8,234,234,1.000000
1_344_1_345_8,8,298,298,1.000000
1_345_1_346_8,8,275,291,0.945017
1_346_1_726_8,8,0,193,0.000000
1_726_1_727_8,8,267,267,1.000000
1_727_1_728_8,8,261,261,1.000000
1_728_1_732_8,8,0,265,0.000000
1_732_1_733_8,8,93,214,0.434579
1_733_1_734_8,8,86,217,0.396313
1_734_1_746_8,8,164,194,0.845361
1_746_1_747_8,8,232,232,1.000000
1_747_1_748_8,8,256,256,1.000000
1_348_1_349_10,10,120,120,1.000000
1_349_1_351_10,10,0,94,0.000000
1_351_1_352_10,10,273,273,1.000000
1_352_1_353_10,10,0,89,0.000000
1_353_1_354_10,10,224,224,1.000000
1_354_1_355_10,10,251,251,1.000000
1_355_1_356_10,10,270,270,1.000000
1_356_1_357_10,10,206,206,1.000000
1_357_1_358_10,10,168,178,0.943820
1_358_1_359_10,10,247,247,1.000000
1_359_1_360_10,10,210,210,1.000000
1_360_1_361_10,10,225,225,1.000000
1_361_1_362_10,10,199,199,1.000000
1_362_1_363_10,10,241,241,1.000000
1_363_1_364_10,10,294,294,1.000000
1_364_1_365_10,10,289,289,1.000000
1_367_1_368_2,2,432,432,1.000000
1_368_1_370_2,2,470,470,1.000000
1_370_1_371_2,2,423,423,1.000000
1_371_1_372_2,2,424,424,1.000000
1_372_1_373_2,2,388,388,1.000000
1_373_1_374_2,2,390,390,1.000000
1_374_1_375_2,2,0,135,0.000000
1_375_1_376_2,2,316,330,0.957576
1_376_1_377_2,2,360,360,1.000000
1_377_1_378_2,2,328,330,0.993939
1_378_1_379_2,2,353,353,1.000000
1_379_1_380_2,2,356,356,1.000000
1_380_1_381_2,2,386,386,1.000000
1_381_1_382_2,2,330,333,0.990991
1_382_1_383_2,2,397,397,1.000000
1_383_1_384_2,2,394,394,1.000000
1_384_1_385_2,2,331,331,1.000000
1_385_1_386_2,2,335,335,1.000000
1_386_1_387_2,2,366,367,0.997275
1_387_1_388_2,2,338,338,1.000000
1_388_1_389_2,2,381,381,1.000000
1_389_1_390_2,2,386,386,1.000000
1_390_1_391_2,2,389,389,1.000000
1_391_1_392_2,2,367,367,1.000000
1_392_1_740_2,2,359,359,1.000000
1_740_1_741_2,2,299,299,1.000000
1_741_1_742_2,2,153,153,1.000000
1_394_1_395_17,17,10,10,1.000000
1_395_1_396_17,17,216,216,1.000000
1_396_1_397_17,17,184,184,1.000000
1_397_1_398_17,17,0,145,0.000000
1_398_1_399_17,17,240,240,1.000000
1_399_1_400_17,17,73,73,1.000000
1_400_1_401_17,17,51,51,1.000000
1_401_1_402_17,17,1,22,0.045455
1_402_1_403_17,17,280,280,1.000000
1_403_1_404_17,17,0,110,0.000000
1_404_1_406_17,17,6,98,0.061224
1_406_1_407_17,17,53,56,0.946429
1_407_1_408_17,17,172,176,0.977273
1_408_1_409_17,17,222,222,1.000000
1_409_1_410_17,17,80,82,0.975610
1_410_1_411_17,17,0,0,0.000000
1_411_1_412_17,17,341,341,1.000000
1_412_1_413_17,17,0,183,0.000000
1_413_1_414_17,17,211,263,0.802281
1_414_1_415_17,17,0,34,0.000000
1_415_1_416_17,17,202,202,1.000000
1_416_1_417_17,17,210,210,1.000000
1_417_1_418_17,17,173,198,0.873737
1_418_1_419_17,17,177,177,1.000000
1_419_1_420_17,17,164,191,0.858639
1_420_1_421_17,17,67,67,1.000000
1_421_1_422_17,17,168,191,0.879581
1_424_1_425_9,9,108,108,1.000000
1_425_1_426_9,9,211,211,1.000000
1_426_1_427_9,9,0,57,0.000000
1_427_1_428_9,9,1,1,1.000000
1_428_1_429_9,9,212,212,1.000000
1_429_1_430_9,9,222,222,1.000000
1_430_1_431_9,9,1,228,0.004386
1_431_1_432_9,9,0,0,0.000000
1_432_1_433_9,9,1,196,0.005102
1_433_1_434_9,9,0,62,0.000000
1_434_1_436_9,9,1,256,0.003906
1_436_1_437_9,9,0,11,0.000000
1_437_1_438_9,9,0,250,0.000000
1_438_1_439_9,9,139,146,0.952055
1_439_1_440_9,9,165,168,0.982143
1_440_1_441_9,9,0,385,0.000000
1_441_1_442_9,9,112,112,1.000000
1_442_1_443_9,9,401,401,1.000000
1_443_1_444_9,9,495,495,1.000000
1_444_1_445_9,9,142,142,1.000000
1_445_1_446_9,9,488,488,1.000000
1_446_1_447_9,9,500,500,1.000000
1_447_1_448_9,9,177,177,1.000000
1_448_1_449_9,9,107,107,1.000000
1_451_1_452_5,5,0,159,0.000000
1_452_1_453_5,5,443,497,0.891348
1_453_1_454_5,5,500,500,1.000000
1_454_1_455_5,5,500,500,1.000000
1_455_1_456_5,5,500,500,1.000000
1_456_1_457_5,5,500,500,1.000000
1_457_1_458_5,5,500,500,1.000000
1_458_1_459_5,5,496,496,1.000000
1_459_1_460_5,5,419,487,0.860370
1_460_1_461_5,5,475,491,0.967413
1_461_1_462_5,5,464,485,0.956701
1_462_1_463_5,5,418,478,0.874477
1_463_1_464_5,5,441,490,0.900000
1_464_1_465_5,5,472,490,0.963265
1_465_1_466_5,5,442,442,1.000000
1_466_1_467_5,5,440,458,0.960699
1_467_1_469_5,5,438,452,0.969027
1_469_1_470_5,5,429,429,1.000000
1_470_1_471_5,5,51,51,1.000000
1_471_1_472_5,5,0,126,0.000000
1_472_1_473_5,5,38,38,1.000000
1_473_1_474_5,5,41,41,1.000000
1_474_1_475_5,5,0,253,0.000000
1_475_1_476_5,5,46,46,1.000000
1_476_1_477_5,5,64,64,1.000000
1_477_1_478_5,5,273,284,0.961268
1_478_1_479_5,5,321,377,0.851459
1_479_1_480_5,5,279,279,1.000000
1_480_1_481_5,5,319,372,0.857527
1_481_1_482_5,5,387,409,0.946210
1_482_1_483_5,5,398,414,0.961353
1_483_1_484_5,5,397,427,0.929742
1_484_1_485_5,5,431,456,0.945175
1_485_1_486_5,5,341,377,0.904509
1_486_1_487_5,5,0,278,0.000000
1_487_1_488_5,5,103,103,1.000000
1_490_1_491_27,27,356,356,1.000000
1_491_1_492_27,27,0,89,0.000000
1_492_1_493_27,27,315,315,1.000000
1_493_1_494_27,27,299,318,0.940252
1_494_1_495_27,27,331,334,0.991018
1_495_1_496_27,27,1,162,0.006173
1_496_1_497_27,27,203,203,1.000000
1_497_1_499_27,27,0,140,0.000000
1_499_1_500_27,27,371,371,1.000000
1_500_1_501_27,27,378,378,1.000000
1_501_1_502_27,27,331,369,0.897019
1_502_1_503_27,27,302,369,0.818428
1_503_1_504_27,27,381,384,0.992188
1_504_1_505_27,27,0,140,0.000000
1_505_1_506_27,27,346,346,1.000000
1_506_1_507_27,27,252,252,1.000000
1_507_1_508_27,27,286,286,1.000000
1_508_1_509_27,27,276,276,1.000000
1_509_1_510_27,27,313,313,1.000000
1_510_1_511_27,27,330,330,1.000000
1_511_1_512_27,27,337,337,1.000000
1_514_1_515_6,6,4,172,0.023256
1_515_1_517_6,6,330,330,1.000000
1_517_1_518_6,6,302,302,1.000000
1_518_1_519_6,6,277,277,1.000000
1_519_1_520_6,6,323,323,1.000000
1_520_1_521_6,6,302,302,1.000000
1_521_1_522_6,6,312,319,0.978056
1_522_1_523_6,6,359,359,1.000000
1_523_1_524_6,6,359,359,1.000000
1_524_1_525_6,6,340,340,1.000000
1_525_1_526_6,6,327,327,1.000000
1_526_1_527_6,6,332,332,1.000000
1_527_1_528_6,6,276,276,1.000000
1_528_1_529_6,6,358,358,1.000000
1_529_1_530_6,6,290,290,1.000000
1_530_1_531_6,6,284,284,1.000000
1_531_1_532_6,6,295,295,1.000000
1_532_1_533_6,6,146,146,1.000000
1_533_1_534_6,6,303,303,1.000000
1_534_1_535_6,6,362,363,0.997245
1_535_1_536_6,6,308,308,1.000000
1_536_1_537_6,6,330,333,0.990991
1_537_1_538_6,6,163,291,0.560137
1_538_1_539_6,6,268,268,1.000000
1_539_1_540_6,6,0,122,0.000000
1_563_1_564_11,11,496,496,1.000000
1_564_1_566_11,11,41,41,1.000000
1_566_1_567_11,11,0,185,0.000000
1_567_1_568_11,11,18,18,1.000000
1_568_1_569_11,11,464,464,1.000000
1_569_1_570_11,11,495,495,1.000000
1_570_1_571_11,11,500,500,1.000000
1_571_1_572_11,11,399,399,1.000000
1_572_1_573_11,11,454,454,1.000000
1_573_1_574_11,11,417,437,0.954233
