Method,Segm. prior,AR,VSD,MSSD,MSPD,ADD,mIoU
SIFT,Oracle,34.1,16.5,37.9,48.0,16.4,100
SIFT,Ours,24.4,12.2,27.3,33.8,12.8,66.5
Obj.Mat.,Oracle,26.0,15.5,31.7,30.8,13.4,100
Obj.Mat.,Ours,22.4,14.1,27.9,25.2,13.2,66.5
Oryon,Oracle,46.5,32.1,50.9,56.7,34.9,100
Oryon,Ours,32.2,23.6,36.6,36.4,24.3,66.5
Soryon,Oracle,45.4,31.5,49.8,55.0,34.3,100
Soryon,Ours,34.2,25.3,38.7,38.7,23.2,67.9
Soryon(S),Oracle,45.6,31.7,49.7,55.2,35.0,100
Soryon(S),Ours,34.2,25.3,38.6,38.7,23.8,67.9
